Group,Date,Kind,Gap,Pass
A 上游材料,2026-07-01,REBALANCE_DAY,2.842170943040401e-14,True
B 載板與 PCB,2026-07-01,REBALANCE_DAY,2.842170943040401e-14,True
C 半導體製造與封裝,2026-07-01,REBALANCE_DAY,0.0,True
D 記憶體,2026-07-01,REBALANCE_DAY,0.0,True
E IC 設計與 IP,2026-07-01,REBALANCE_DAY,2.842170943040401e-14,True
F AI 伺服器系統,2026-07-01,REBALANCE_DAY,2.842170943040401e-14,True
G AI 散熱,2026-07-01,REBALANCE_DAY,0.0,True
H AI 電力與機房,2026-07-01,REBALANCE_DAY,2.842170943040401e-14,True
I 光通訊與矽光子,2026-07-01,REBALANCE_DAY,2.842170943040401e-14,True
J 被動元件,2026-07-01,REBALANCE_DAY,0.0,True
K AI PC 與消費電子,2026-07-01,REBALANCE_DAY,0.0,True
L 其他科技族群,2026-07-01,REBALANCE_DAY,0.0,True
M 傳產輪動,2026-07-01,REBALANCE_DAY,0.0,True
