Group,Date,StrategySignal,TargetPosition,EffectivePosition,BasketRet,GrossPnlRet,NetPnlRet,CostDrag
A 上游材料,2025-01-02,HOLD,0.0,0.0,0.0,0.0,0.0,0.0
A 上游材料,2025-01-03,HOLD,0.0,0.0,-0.026243950285192965,-0.0,-0.0,0.0
A 上游材料,2025-01-06,HOLD,0.0,0.0,0.0035857650890869885,0.0,0.0,0.0
A 上游材料,2025-01-07,HOLD,0.0,0.0,0.030111802026259807,0.0,0.0,0.0
A 上游材料,2025-01-08,HOLD,0.0,0.0,0.009500953568334487,0.0,0.0,0.0
A 上游材料,2025-01-09,HOLD,0.0,0.0,-0.009287073635857976,-0.0,-0.0,0.0
A 上游材料,2025-01-10,HOLD,0.0,0.0,0.00356874295668553,0.0,0.0,0.0
A 上游材料,2025-01-13,HOLD,0.0,0.0,0.009511931200125324,0.0,0.0,0.0
A 上游材料,2025-01-14,HOLD,0.0,0.0,-0.005400434924332343,-0.0,-0.0,0.0
A 上游材料,2025-01-15,HOLD,0.0,0.0,-0.010712715885973247,-0.0,-0.0,0.0
A 上游材料,2025-01-16,HOLD,0.0,0.0,0.009062896490098029,0.0,0.0,0.0
A 上游材料,2025-01-17,HOLD,0.0,0.0,0.01084453680139936,0.0,0.0,0.0
A 上游材料,2025-01-20,HOLD,0.0,0.0,-0.01021647629190455,-0.0,-0.0,0.0
A 上游材料,2025-01-21,HOLD,0.0,0.0,-0.003818405119748006,-0.0,-0.0,0.0
A 上游材料,2025-01-22,HOLD,0.0,0.0,-0.02122172246744906,-0.0,-0.0,0.0
A 上游材料,2025-01-23,HOLD,0.0,0.0,-0.006067106147269518,-0.0,-0.0,0.0
A 上游材料,2025-01-24,HOLD,0.0,0.0,-0.005826992186223709,-0.0,-0.0,0.0
A 上游材料,2025-01-27,HOLD,0.0,0.0,0.011517484258693537,0.0,0.0,0.0
A 上游材料,2025-01-28,HOLD,0.0,0.0,0.011885554358580614,0.0,0.0,0.0
A 上游材料,2025-01-29,HOLD,0.0,0.0,0.01471246458730111,0.0,0.0,0.0
A 上游材料,2025-01-30,HOLD,0.0,0.0,-0.016279187937156367,-0.0,-0.0,0.0
A 上游材料,2025-01-31,HOLD,0.0,0.0,-0.007140261812509832,-0.0,-0.0,0.0
A 上游材料,2025-02-03,HOLD,0.0,0.0,0.03613565064015739,0.0,0.0,0.0
A 上游材料,2025-02-04,HOLD,0.0,0.0,0.01174877723459656,0.0,0.0,0.0
A 上游材料,2025-02-05,HOLD,0.0,0.0,-0.02686909958494878,-0.0,-0.0,0.0
A 上游材料,2025-02-06,HOLD,0.0,0.0,0.014968583807361137,0.0,0.0,0.0
A 上游材料,2025-02-07,HOLD,0.0,0.0,0.014509163154239235,0.0,0.0,0.0
A 上游材料,2025-02-10,HOLD,0.0,0.0,0.019925826425759408,0.0,0.0,0.0
A 上游材料,2025-02-11,HOLD,0.0,0.0,0.011875250038361488,0.0,0.0,0.0
A 上游材料,2025-02-12,HOLD,0.0,0.0,0.015256616668945202,0.0,0.0,0.0
A 上游材料,2025-02-13,HOLD,0.0,0.0,0.01332918448203746,0.0,0.0,0.0
